"","Date","orig_SO","ShipDate","Specifier","Customer","Job_Name","Summary","Product_Family","Qty","Qty_On_Order","Prob_Part","Replaced","Repl_SO","RMA","Comments","code"
"1",2020-03-19,"SO75994","","","GRAYBAR ELECTRIC-ST LOUIS","","REPORTED STILL NOT LIGHITNG UP","MICRO",2,"","MDL02-08H1-30KH-50-WH-TRM","","","RMA13815","","ELE"
"2",2020-03-19,"SO87347","","","BARROW ELECTRICAL AND LIGHTING SUPPLY",""," replacement driver and that didn’t fix the issue will replace LED ","LED",1,"","LEM-240-00-40KS","","","RMA13814","","ELE"
"3",2020-03-19,"SO87347","","","BARROW ELECTRICAL AND LIGHTING SUPPLY",""," replacement driver and that didn’t fix the issue will replace LED ","SERVICE PARTS",1,"","SP-241-0500-2","","","RMA13814","","ELE"
"4",2020-03-19,"SO102384","","","CHELSEA LIGHTING","","  REPORTED DEFECTIVE ","LED",5,"","LEM-319-00-30KS","","","RMA13813","","ELE"
"5",2020-03-19,"SO84654","","","SONEPAR/EOFF ELECTRIC",""," REPORTED DISCOLORED LED'S ","LED",13,"","LEM-203-00-40KS","","","RMA13812","","ELE"
"6",2020-03-19,"SO89109","","","TURTLE & HUGHES - NEW YORK CITY","","  REPORTED  the circuit board came off ","LED",3,"","LEM-218-00-35KS","","","RMA13811","","ELE"
"7",2020-03-19,"SO91395","","","CHELSEA LIGHTING","","REPORTED NOT LIGHTING UP","SERVICE PARTS",3,"","SP-318-0700-6E","","","RMA13810","","ELE"
"8",2020-03-19,"SO60988","","","CED-VERO BEACH","","  REPORTED DEFECTIVE ","SERVICE PARTS",1,"","SP-189-0350-3","","","RMA13809","","ELE"
"9",2020-03-19,"SO100892","","","REXEL - DENVER","","ORIGINAL SO#100892  CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","BEVELED MINI COMPLETE",3,"","B3RDF-SF-WH-WH-TRM","","","RMA13808","","CNN"
"10",2020-03-19,"SO100892","","","REXEL - DENVER","","ORIGINAL SO#100892  CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","BEVELED MINI COMPLETE",3,"","B3RDF-09X3-30KS-55-NC1-UNV-D6E-HSG","","","RMA13808","","CNN"
"11",2020-03-19,"SO100892","","","REXEL - DENVER","","ORIGINAL SO#100892  CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","ACCESSORY",3,"","CB 27","","","RMA13808","","CNN"
"12",2020-03-18,"SO101465","","","THE REYNOLDS COMPANY - AUSTIN","","ORIGINAL SO#101465  CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","BEVELED 2.2",9,"","B4SDL-S-WH-TRM","","","RMA13807","","CRO"
"13",2020-03-18,"SO50062","","","CED - NUNN/AUSTIN","","  REPORTED 7 FIXTURES NOT WORKING ","LED",7,"","LEM-240-00-35KS","","","RMA13806","","ELE"
"14",2020-03-18,"SO88245","","","REXEL - SAN JOSE","","  REPORTED DEFECTIVE ","LED",9,"","LEM-203-00-30KS","","","RMA13805","","ELE"
"15",2020-03-18,"SO88245","","","REXEL - SAN JOSE","","  REPORTED DEFECTIVE ","SERVICE PARTS",1,"","SP-160-0500-2","","","RMA13805","","ELE"
"16",2020-03-17,"SO72572","","","KRELL LIGHTING",""," LED Engines have failed and no longer illuminate ","LED",2,"","LEM-203-00-30KS","","","RMA13803","","ELE"
"17",2020-03-17,"SO102636","","","FACILITY SOLUTIONS GROUP - NEW YORK","","QUOTATION ERROR - RECEIVED SQUARE - NEEDED ROUND TRIMS","BEVELED 2.2",20,"","B4SDF-SF-WH-WH-TRM-MLC","","","RMA13802","","QUO"
"18",2020-03-17,"SO99466","","","GRAYBAR ELECTRIC-ST LOUIS","","  REPORTED LED'S TURNING  YELLOW  ","LED",3,"","LEM-213-00-35KS","","","RMA13801","","ELE"
"19",2020-03-17,"SO99466","","","GRAYBAR ELECTRIC-ST LOUIS","","  REPORTED LED'S TURNING  YELLOW  ","LED",3,"","LEM-213-00-35KS","","","RMA13801","","ELE"
"20",2020-03-17,"SO52208","","","SCHWINGHAMMER LIGHTING","","  REPORTED DEFECTIVE ","SERVICE PARTS",4,"","SP-098-0700-2","","","RMA13800","","ELE"
"21",2020-03-17,"SO52208","","","SCHWINGHAMMER LIGHTING","","  REPORTED DEFECTIVE ","LED",4,"","LEM-212-00-6022KS","","","RMA13800","","ELE"
"22",2020-03-17,"SO50384","","","SONEPAR - CODALE ELECTRIC","","  REPORTED DEFECTIVE ","SERVICE PARTS",10,"","SP-044-0500-7","","","RMA13799","","ELE"
"23",2020-03-17,"SO51351","","","CED - EFENGEE ELECTRIC SUPPLY","","REPORTED NOT LIGHTING UP","LED",2,"","LEM-240-00-35KS","","","RMA13798","","ELE"
"24",2020-03-17,"SO51351","","","CED - EFENGEE ELECTRIC SUPPLY","","REPORTED NOT LIGHTING UP","SERVICE PARTS",3,"","SP-140-1400-2","","","RMA13798","","ELE"
"25",2020-03-16,"SO99463","","","GRAYBAR ELECTRIC-ST LOUIS",""," CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","BEVELED MINI COMPLETE",2,"","B3RAM-25-S-BL-TRM","","","RMA13797","","CNN"
"26",2020-03-16,"SO99463","","","GRAYBAR ELECTRIC-ST LOUIS",""," CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","BEVELED MINI COMPLETE",8,"","B3RAF-25-SF-WH-WH-TRM","","","RMA13797","","CNN"
"27",2020-03-16,"SO99463","","","GRAYBAR ELECTRIC-ST LOUIS",""," CREDIT WILL BE ISSUED UPON RECEIPT IN BRAND NEW CONDITION","BEVELED MINI COMPLETE",1,"","B3RAL-25-SF-WH-TRM","","","RMA13797","","CNN"
"28",2020-03-16,"SO93232","","","PHILLIP MONAT LIGHTING DESIGN","","REPORTED RECEIVED INCORRECT DRIVER","REMOTE PS",1,"","RPA-02-08H1-120V-D3","","","RMA13796","","SHIP"
"29",2020-03-16,"SO41937","","","GRAYBAR ELECTRIC-ST LOUIS","","REPORTED NOT LIGHTING UP","SERVICE PARTS",1,"","SP-034-0500-8","","","RMA13795","","ELE"
